time,veh_id,mode,fuel,co2,stress,cng_tank_kg
167.0,45,diesel,2983.8629926710623,9485.557160544457,0.5809245623801498,11.933195610383741
167.0,46,diesel,2407.18116633735,7652.2701841178905,0.4381809401702396,11.926956118548143
167.0,47,diesel,397.07479784541295,1262.1199325708437,0.383222820665505,11.923719327714212
167.0,48,diesel,1831.0280370691007,5820.6782873078455,0.3698371466719372,11.926922944136898
167.0,49,diesel,1323.1974473257515,4206.275580566481,0.33415750748914,11.906879808349215
167.0,5,diesel,1072.806261016379,3410.261900096864,0.3158385578634186,11.934768355887833
167.0,50,diesel,1731.4680325762083,5504.15921063098,0.3326509288926895,11.929621856979916
167.0,51,diesel,3414.2646304413156,10853.811247206053,0.5906699522128294,11.901162277301099
167.0,52,diesel,0.0,0.0,0.47730367834722137,11.927564945028292
167.0,53,diesel,1048.8644900097302,3334.1685814225357,0.565404488251338,11.93495181900351
167.0,55,diesel,601.0070835585515,1910.3780070735909,0.46618644820544747,11.939225835154163
167.0,56,diesel,429.89744511383276,1366.4029856832906,0.3235971309084455,11.947555674527058
167.0,57,diesel,1917.584872332887,4906.881362744613,0.2,11.905344142195272
167.0,58,cng,1425.157543425709,4468.169631801822,0.0,11.933969538556786
167.0,59,cng,1129.430779555811,3541.009727229568,0.3190873002431512,11.922828380487115
167.0,6,diesel,1320.0806017994555,4196.365408606903,0.507504414213809,11.883333756007568
167.0,60,cng,0.0,0.0,0.38891572939063196,11.894668830455757
167.0,61,cng,3063.1391834807578,9603.825871295352,0.0,11.906256872457991
167.0,62,cng,2364.979942649871,7414.869652071397,0.3826976676924209,11.914003850887712
167.0,63,cng,649.5145296256492,2036.343112155284,0.33515116293567443,11.945179207180782
167.0,64,cng,1925.72229788382,6037.639528547406,0.2980240760745118,11.916633686742996
167.0,65,cng,2953.9386975014904,9261.450550518153,0.16045722563925308,11.922948381526325
167.0,66,cng,1692.0874863102629,5305.127398691025,0.2626353003203841,11.939076497140604
167.0,67,cng,1017.5588526409447,3190.265598341628,0.27123799652617225,11.907855890509701
167.0,68,cng,564.6881614204664,1770.3854953536313,0.39305346543365854,11.936325084996815
167.0,69,cng,2634.7802375353986,8260.739762174557,0.38380773182530586,11.911906050944136
167.0,7,diesel,0.0,0.0,0.33117330737359413,11.939793138252915
167.0,70,cng,1096.9069252133447,3439.061096795885,0.3748002125039918,11.934938871128482
167.0,71,cng,845.8315679637693,2651.8184498343862,0.35043115574855416,11.956035380178658
167.0,72,cng,1713.3900210192517,5371.936195466217,0.29073437363796756,11.92205550604156
167.0,74,cng,0.0,0.0,0.0,11.942519731192764
167.0,75,cng,1600.4877838156604,5017.947680843142,0.35635099946233156,11.942081403105034
167.0,76,cng,0.0,0.0,0.6812669531274735,11.953722023850855
167.0,77,diesel,0.0,0.0,0.4546192504550723,11.930167539561237
167.0,78,diesel,647.7188765589174,2058.913619094398,0.44438036169761835,11.9583980826618
167.0,79,diesel,596.4700501474198,1895.9999853445402,0.5626133451236119,11.932843719753874
167.0,8,diesel,1604.1979976663933,5099.583681930264,0.42203878624763974,11.897901540150716
167.0,80,diesel,2996.957133254696,9527.149740305491,0.0,11.92926558569486
167.0,81,diesel,1886.2836424985696,5996.338578133334,0.46803198896281545,11.947799609930362
167.0,82,diesel,1810.684150802767,5756.006491176431,0.49583707670172156,11.938433250809688
167.0,84,diesel,2657.4360896687303,8447.812668098004,0.0,11.942655103115575
167.0,85,diesel,0.0,0.0,0.4541382011181582,11.950062224704126
167.0,86,diesel,1060.1916254534535,3370.171341280483,0.45441739845007384,11.941808188598005
167.0,87,diesel,2882.52771820813,9163.413316337233,0.44322909565981133,11.955894859820402
167.0,88,diesel,2053.0780550581103,6526.574455227558,0.49183082977983344,11.930201880213259
167.0,89,diesel,1506.5179114589407,4789.057504030281,0.4915002451278217,11.949093936561779
167.0,9,diesel,596.3888888888889,1895.5555555555554,0.0,11.939653341481336
167.0,90,diesel,0.0,0.0,0.42328441436828274,11.946258434589584
167.0,91,diesel,679.6834934515982,2160.42150413205,0.38252361717212074,11.961233006134131
167.0,92,diesel,1969.7570157255118,6261.652601955501,0.0,11.951446104614774
167.0,93,diesel,511.6433268886718,1626.2914898414779,0.0,11.90517839790552
167.0,94,diesel,868.032332832981,2080.1260987220594,0.5561512529422095,11.920939343187282
167.0,95,diesel,834.4430177446787,1891.442931427673,0.2,11.950631786379873
167.0,96,cng,1720.0641082632724,5392.824024852865,0.3520906511581415,11.937715771279484
167.0,97,cng,1883.768757731254,5906.128347910797,0.26830373606391916,11.950938177773546
167.0,98,cng,0.0,0.0,0.281119996157801,11.93900402524486
167.0,99,cng,865.2433407144861,2712.7164202952167,0.4338919766919744,11.949880301053817
168.0,0,cng,837.2222222222222,2624.722222222222,0.0,11.895012730202922
168.0,1,cng,2408.0339686899524,7549.835215538786,0.3154849000322129,11.881062697061749
168.0,10,diesel,3996.2471754320127,12703.940535070422,0.33049710373685265,11.869471391823307
168.0,100,cng,1248.0410547693423,3912.9111940678986,0.40651168181683656,11.921915541392819
168.0,101,cng,1438.5139483339954,4510.068183825157,0.0,11.959839467544013
168.0,102,cng,1350.0883378773892,4232.808798155952,0.0,11.966386438953391
168.0,103,cng,1882.9898792595302,5903.671883476998,0.0,11.96873509251575
168.0,104,cng,1165.8725005873089,3655.2979929969747,0.2346735477493948,11.961500754257925
168.0,105,cng,3665.5791639690274,11492.620535100594,0.3812743503260618,11.930041247396762
168.0,106,cng,879.4654020537349,2757.2801847659975,0.0,11.961379755322875
168.0,107,cng,0.0,0.0,0.35240574961401455,11.946217820422207
168.0,108,cng,614.0255859597144,1925.0423215768437,0.35903997060115994,11.949615082319463
168.0,11,diesel,1541.5855758098778,4900.532900936635,0.5048176218167939,11.870221679262988
168.0,110,cng,965.1669939226272,3026.0083861967673,0.26391156140382804,11.96656706150231
168.0,111,cng,0.0,0.0,0.0,11.974544237707471
168.0,112,diesel,1576.4598772319011,5011.4039558247705,0.43308364133786875,11.939040434924534
168.0,113,cng,0.0,0.0,0.31628796339834525,11.967558108084315
168.0,114,cng,625.747605466571,2441.2191302724996,0.7483139594141928,11.972072694329695
168.0,115,cng,1378.511828347657,5545.792555386713,0.61092806779494,11.959088662770792
168.0,116,diesel,0.0,0.0,0.6168228530972197,11.963346613257082
168.0,117,diesel,3565.3515067368717,11334.099437175108,0.0,11.972748511301411
168.0,118,diesel,866.7911457144161,2755.3566050637414,0.48167262286090634,11.945395790656775
168.0,119,diesel,700.1311961902911,2225.4969245514503,0.48565429587050085,11.969938105717802
168.0,12,diesel,497.8770305364867,1582.5268646100913,0.47486709569509483,11.917084967161511
168.0,120,diesel,0.0,0.0,0.3804469880567793,11.973011878293228
168.0,121,diesel,2248.474778384507,7147.680758622731,0.26410517126816796,11.961172655177744
168.0,122,diesel,1056.2507729127383,3357.646012575739,0.4996473787316144,11.949261126281
168.0,123,diesel,3156.789140950616,10035.253427952353,0.0,11.953293880871383
168.0,124,diesel,0.0,0.0,0.5222819409633166,11.92479518299742
168.0,125,diesel,0.0,0.0,0.4399190694460173,11.957555494782543
168.0,126,diesel,1984.277864876524,6307.863349903762,0.5072843452144873,11.950315627970756
168.0,127,diesel,1359.5747944523175,4321.902533827163,0.3077006289944623,11.971048732251123
168.0,128,diesel,2114.9343531212,6723.218503491611,0.6096550481159677,11.954414500319942
168.0,129,diesel,956.7467273911531,3041.283623736464,0.507687658695986,11.974903952102176
168.0,13,diesel,0.0,0.0,0.5822687861657629,11.896628035287327
168.0,130,diesel,443.8059643037393,1410.634302559886,0.47660855215323056,11.97218561217319
168.0,131,diesel,761.1059510001319,2419.3396884915055,0.5187504438900019,11.97668967640847
168.0,132,diesel,0.0,0.0,0.3598993975468661,11.972513970380128
168.0,133,diesel,3443.114417581918,8439.324916260097,0.5798436486125569,11.929925417769748
168.0,134,cng,2598.313364790922,8146.439588772073,0.0,11.963237616548856
168.0,136,cng,2025.4406313844977,6350.295723104064,0.0,11.962777776658426
168.0,137,cng,4849.139444025057,15203.493073458423,0.1899059772358616,11.948735696168946
168.0,138,cng,989.6833988090024,3102.882411997181,0.3643214226533797,11.954996598575718
168.0,139,cng,0.0,0.0,0.0,11.977805496453607
168.0,14,diesel,0.0,0.0,0.0,11.902714562675726
168.0,140,cng,2954.4626536841415,9263.048715720595,0.3699656462110646,11.971832163203434
168.0,141,cng,1137.0904151938314,3565.0116432859936,0.37494272041086935,11.973146433075085
168.0,142,cng,0.0,0.0,0.2881463492841612,11.957811088821147
168.0,143,cng,965.5069444547864,3027.086477671537,0.49177484103225994,11.973888487231537
168.0,144,cng,1641.9788427530827,5147.983159508794,0.0,11.984481485036001
168.0,145,cng,1231.711151754666,3861.711110689435,0.41285873246216326,11.97080141632547
168.0,146,cng,399.8809495494509,1253.6726906857587,0.23203048537368381,11.974907049828722
168.0,147,cng,786.5244596252321,2465.910852295005,0.30939942785811564,11.979298308020672
168.0,148,cng,1559.9211445198737,4890.755863962678,0.3444503765736852,11.97993337315763
168.0,149,cng,891.867507006495,2796.1995182434375,0.39392173454743856,11.983679390641898
168.0,15,diesel,901.3882006482492,2865.3405571993903,0.41003604376192754,11.895195355963299
168.0,150,cng,0.0,0.0,0.0,11.983668879227201
168.0,152,cng,2324.207580850303,9116.846009753486,0.7665060833288737,11.980819512998705
168.0,153,diesel,691.7866733902302,2198.9567822763242,0.3601081343635039,11.986395568927565
168.0,154,diesel,1140.0416158920573,3624.0191652530007,0.515201685972859,11.964961215534556
168.0,155,diesel,410.34744506894873,1304.3125209709394,0.5622840077195883,11.966928459057469
168.0,156,diesel,1579.2156007493213,5020.163960100598,0.6344275875051049,11.973556239330057
168.0,157,diesel,2750.879525386765,8744.863787130587,0.5641650883914295,11.978712865675558
168.0,158,diesel,446.59377365026944,1419.4879613992182,0.3890111279310458,11.986989673446688
168.0,159,diesel,1258.206384997518,3999.6386110442454,0.6246437764132287,11.986755032549999
168.0,16,diesel,596.3888888888889,1895.5555555555554,0.0,11.94055982902161
168.0,160,diesel,716.8562840770646,2278.581528075808,0.20780095615373267,11.981370128894834
168.0,161,diesel,3645.8509346619694,11590.022286162264,0.47416110801108263,11.9843370809729
168.0,162,diesel,512.2105737319296,1628.0896024319907,0.4361789125799898,11.984472400735564
168.0,163,diesel,3206.0040524967876,10191.74864722767,0.625303430497651,11.960947499680728
168.0,164,diesel,596.3888888888889,1895.5555555555554,0.0,11.990793851623447
168.0,165,diesel,0.0,0.0,0.3295653450624744,11.985152660484106
168.0,166,diesel,1572.5271905909203,4998.858043979602,0.4980604670090018,11.983846217997613
168.0,167,diesel,1857.8177801734623,5905.798007071396,0.4657426796552259,11.986098001074904
168.0,168,diesel,0.0,0.0,0.42249669575950005,11.967431112187382
168.0,169,diesel,0.0,0.0,0.402002657701,11.982711086661936
168.0,17,diesel,812.7212837741274,2583.4577747913304,0.4305041281329625,11.911741635103507
168.0,170,diesel,5644.149610586764,17942.648032450805,0.5844006315116943,11.951980869687798
168.0,171,diesel,632.632280721689,1732.515987841146,0.4392916777767918,11.983825278289947
168.0,172,cng,504.01460565263477,1580.1483169554153,0.24145421650878512,11.989433995296084
168.0,173,cng,0.0,0.0,0.47597542658965314,11.98514830941913
168.0,174,cng,1596.3174838640482,5004.823174226266,0.0,11.9915605827145
168.0,175,cng,606.1971156903777,1900.5218029022474,0.22965972654776584,11.98563451443512
168.0,176,cng,0.0,0.0,0.4129972957942664,11.982705778222309
168.0,177,cng,576.3575693484391,1806.9755283511354,0.36322379281810385,11.971150323679826
168.0,178,cng,563.3089732138811,1766.0649766105737,0.3978898110957611,11.986317654941603
168.0,179,cng,1314.3742722084914,4120.8925578707385,0.41291547106539545,11.99302443918893
168.0,180,cng,1529.1108904717046,4794.120386655162,0.3719575158675263,11.988269116055315
168.0,181,cng,0.0,0.0,0.37650402882201667,11.98840991600806
168.0,182,cng,2601.5445161513153,8156.57815966236,0.0,11.99165707727655
168.0,183,cng,2972.4676154229505,9319.53739301871,0.3863964066157603,11.988656231557057
168.0,184,cng,795.6942745431388,2494.656878784298,0.250474677739227,11.996948461535876
168.0,185,cng,0.0,0.0,0.24747298442276383,11.998587587232665
168.0,186,cng,0.0,0.0,0.3824977490794989,11.998032472717203
168.0,187,cng,636.8928967788855,1996.7650457485895,0.2586370823430632,11.997039963568005
168.0,188,cng,596.2871275864607,1869.4097030122464,0.0,11.998566490650191
168.0,189,cng,0.0,0.0,0.5136771996423491,11.999162777777778
168.0,190,cng,438.6513891520798,1559.008172499503,0.5402628211531871,11.999162777777778
168.0,191,diesel,0.0,0.0,0.0,11.999162777777778
168.0,192,diesel,0.0,0.0,0.36659748069392645,11.999162777777778
168.0,193,diesel,1141.7603974066444,3629.397693364572,0.0,11.999162777777778
168.0,194,diesel,0.0,0.0,0.4517807652691787,11.999162777777778
168.0,195,diesel,1382.4919766946211,4394.71580105235,0.32826535842870425,11.999162777777778
168.0,196,diesel,906.5999880779679,2881.8629918023544,0.47195809006849226,11.999162777777778
168.0,197,diesel,0.0,0.0,0.2296247332673223,11.999162777777778
168.0,198,diesel,1662.2007154133407,5283.875308410452,0.0,11.999162777777778
168.0,199,diesel,1515.7474559146378,4818.332762605493,0.2911211486214846,11.999162777777778
168.0,2,cng,2144.3249008660055,8728.988174624461,0.6898433358319163,11.914556993966364
168.0,20,diesel,3830.6581641047383,12177.534325519528,0.4698679808062159,11.89628850830555
168.0,200,diesel,1453.021268765249,4618.90001555429,0.0,11.999162777777778
168.0,201,diesel,596.1140744677729,1894.8072189165914,0.31537134004659356,11.999162777777778
168.0,202,diesel,1976.7407071331988,6283.833218799549,0.25687488054560276,11.999162777777778
168.0,203,diesel,1325.310635053855,4212.899113730385,0.0,11.999162777777778
168.0,204,diesel,1457.237451196857,4632.284468968675,0.0,11.999162777777778
168.0,205,diesel,1664.7688702597532,5292.038856638437,0.0,11.999162777777778
